query,old_page,current_page,old_clicks_28d,current_clicks_28d,old_impressions_28d,current_impressions_28d,old_position_28d,current_position_28d,ctr_change_percentage_points,clicks_7d,impressions_7d,position_7d,probable_cause,target_page,required_action,priority,pre_migration_data,source_window,checked_at
pubic hair,,,,,,,,,,0,1,10,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
alopecia doctor near me,,,0,,4,,8,,,0,1,11,MONITOR,/alopecia-areata-treatment-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
alopecia specialist doctor,,,,,,,,,,0,1,11,MONITOR,/alopecia-areata-treatment-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best clinic for laser hair removal,,,,,,,,,,0,1,11,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
best scalp specialist near me,,,,,,,,,,0,1,11,MONITOR,/concerns/hair-loss-scalp/dandruff,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair docto,,,,,,,,,,0,1,11,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair dr near me,,,,,,,,,,0,1,11,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair expert doctor near me,,,,,,,,,,0,1,11,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair loss treatment in bhubaneswar,,,0,,12,,3.58,,,0,1,11,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair removal clinic near me,,,,,,,,,,0,1,11,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
laser bikini hair removal,,,,,,,,,,0,1,11,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
radiant hair salon,,,,,,,,,,0,1,11,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
scalp dr,,,,,,,,,,0,1,11,MONITOR,/concerns/hair-loss-scalp/dandruff,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
